,ProductName_ID,Point-of-Sale_ID,Sell-out units,date
1761,430,42,18,2019-03-11
1762,430,42,26,2019-03-18
1763,430,42,10,2019-03-25
1764,430,42,18,2019-04-01
1765,430,42,12,2019-04-08
1766,430,42,10,2019-04-15
1767,430,42,16,2019-04-22
1768,430,42,16,2019-04-29
1769,430,42,12,2019-05-06
1770,430,42,8,2019-05-13
1771,430,42,34,2019-01-14
1772,430,42,14,2019-05-20
1773,430,42,12,2019-05-27
1774,430,42,6,2019-06-03
1775,430,42,14,2019-06-10
1776,430,42,16,2019-06-17
1777,430,42,17,2019-06-24
1778,430,42,6,2019-07-01
1779,430,42,8,2019-07-08
1780,430,42,6,2019-07-15
1781,430,42,8,2019-07-22
1782,430,42,43,2019-01-21
1783,430,42,8,2019-07-29
1784,430,42,8,2019-08-05
1785,430,42,8,2019-08-12
1786,430,42,4,2019-08-19
1787,430,42,6,2019-08-26
1788,430,42,4,2019-09-02
1789,430,42,4,2019-09-09
1790,430,42,12,2019-09-16
1791,430,42,12,2019-09-23
1792,430,42,12,2019-09-30
1793,430,42,40,2019-01-28
1794,430,42,22,2019-10-07
1795,430,42,10,2019-10-14
1796,430,42,20,2019-10-21
1797,430,42,10,2019-10-28
1798,430,42,14,2019-11-04
1799,430,42,32,2019-02-04
1800,430,42,30,2019-02-11
1801,430,42,26,2019-02-18
1802,430,42,32,2019-02-25
1803,430,42,28,2019-03-04
1804,334,284,3,2016-01-04
1805,334,284,4,2016-03-07
1806,334,284,5,2016-03-14
1807,334,284,2,2016-03-21
1808,334,284,1,2016-03-28
1809,334,284,5,2016-04-11
1810,334,284,1,2016-04-18
1811,334,284,5,2016-05-02
1812,334,284,5,2016-05-09
1813,334,284,4,2016-01-11
1814,334,284,4,2016-05-23
1815,334,284,3,2016-05-30
1816,334,284,3,2016-06-06
1817,334,284,1,2016-06-13
1818,334,284,4,2016-06-20
1819,334,284,5,2016-06-27
1820,334,284,2,2016-07-04
1821,334,284,4,2016-07-11
1822,334,284,1,2016-07-18
1823,334,284,2,2016-01-18
1824,334,284,4,2016-07-25
1825,334,284,2,2016-08-15
1826,334,284,1,2016-08-22
1827,334,284,5,2016-08-29
1828,334,284,2,2016-09-05
1829,334,284,3,2016-09-26
1830,334,284,2,2016-01-25
1831,334,284,8,2016-10-03
1832,334,284,2,2016-10-17
1833,334,284,7,2016-10-24
1834,334,284,6,2016-11-07
1835,334,284,2,2016-11-14
1836,334,284,8,2016-11-21
1837,334,284,2,2016-11-28
1838,334,284,2,2016-12-05
1839,334,284,6,2016-02-01
1840,334,284,3,2016-12-12
1841,334,284,4,2016-12-19
1842,334,284,1,2016-12-26
1843,334,284,1,2016-02-08
1844,334,284,2,2016-02-15
1845,334,284,3,2016-02-29
1846,334,284,4,2017-01-02
1847,334,284,1,2017-03-06
1848,334,284,3,2017-03-13
1849,334,284,4,2017-03-20
1850,334,284,3,2017-04-03
1851,334,284,2,2017-04-10
1852,334,284,3,2017-04-17
1853,334,284,1,2017-04-24
1854,334,284,5,2017-05-08
1855,334,284,2,2017-05-15
1856,334,284,3,2017-05-22
1857,334,284,4,2017-06-05
1858,334,284,6,2017-06-12
1859,334,284,6,2017-06-19
1860,334,284,5,2017-07-10
1861,334,284,3,2017-07-17
1862,334,284,6,2017-01-16
1863,334,284,2,2017-07-24
1864,334,284,4,2017-08-07
1865,334,284,3,2017-08-14
1866,334,284,4,2017-08-21
1867,334,284,4,2017-08-28
1868,334,284,1,2017-09-04
1869,334,284,1,2017-09-11
1870,334,284,3,2017-09-18
1871,334,284,2,2017-09-25
1872,334,284,3,2017-01-23
1873,334,284,2,2017-10-02
1874,334,284,2,2017-10-09
1875,334,284,2,2017-10-16
1876,334,284,2,2017-10-23
1877,334,284,5,2017-10-30
1878,334,284,1,2017-11-06
1879,334,284,3,2017-11-13
1880,334,284,1,2017-11-20
1881,334,284,3,2017-11-27
1882,334,284,3,2017-12-04
1883,334,284,1,2017-01-30
1884,334,284,2,2017-12-11
1885,334,284,6,2017-12-18
1886,334,284,5,2017-02-06
1887,334,284,4,2017-02-13
1888,334,284,2,2017-02-20
1889,334,284,1,2017-02-27
1890,334,284,1,2018-01-01
1891,334,284,1,2018-03-05
1892,334,284,3,2018-03-12
1893,334,284,4,2018-03-19
1894,334,284,1,2018-03-26
1895,334,284,4,2018-04-02
1896,334,284,4,2018-04-09
1897,334,284,3,2018-04-16
1898,334,284,1,2018-04-30
1899,334,284,3,2018-05-07
1900,334,284,2,2018-01-08
1901,334,284,1,2018-05-14
1902,334,284,1,2018-05-21
1903,334,284,2,2018-05-28
1904,334,284,2,2018-06-04
1905,334,284,3,2018-06-11
1906,334,284,5,2018-06-18
1907,334,284,2,2018-06-25
1908,334,284,2,2018-07-02
1909,334,284,1,2018-07-09
1910,334,284,1,2018-07-16
1911,334,284,2,2018-01-15
1912,334,284,4,2018-07-30
1913,334,284,6,2018-08-13
1914,334,284,4,2018-08-20
1915,334,284,3,2018-08-27
1916,334,284,4,2018-09-03
1917,334,284,1,2018-09-10
1918,334,284,2,2018-09-17
1919,334,284,1,2018-09-24
1920,334,284,1,2018-10-01
1921,334,284,1,2018-10-22
1922,334,284,1,2018-10-29
1923,334,284,2,2018-11-05
1924,334,284,1,2018-11-12
1925,334,284,2,2018-11-19
1926,334,284,15,2018-11-26
1927,334,284,2,2018-01-29
1928,334,284,2,2018-12-10
1929,334,284,4,2018-12-17
1930,334,284,1,2018-12-24
1931,334,284,3,2018-02-05
1932,334,284,5,2018-02-12
1933,334,284,3,2018-02-19
1934,334,284,3,2019-01-07
1935,334,284,1,2019-03-11
1936,334,284,4,2019-03-18
1937,334,284,1,2019-03-25
1938,334,284,2,2019-04-01
1939,334,284,1,2019-04-08
1940,334,284,4,2019-04-15
1941,334,284,2,2019-04-22
1942,334,284,4,2019-04-29
1943,334,284,4,2019-05-13
1944,334,284,1,2019-01-14
1945,334,284,2,2019-05-27
1946,334,284,1,2019-06-03
1947,334,284,6,2019-06-10
1948,334,284,2,2019-06-17
1949,334,284,1,2019-06-24
1950,334,284,5,2019-07-01
1951,334,284,3,2019-07-08
1952,334,284,12,2019-07-15
1953,334,284,3,2019-07-22
1954,334,284,3,2019-07-29
1955,334,284,2,2019-08-05
1956,334,284,1,2019-08-19
1957,334,284,2,2019-09-02
1958,334,284,3,2019-09-09
1959,334,284,6,2019-09-16
1960,334,284,1,2019-09-23
1961,334,284,1,2019-09-30
1962,334,284,1,2019-01-28
1963,334,284,4,2019-10-07
1964,334,284,3,2019-10-14
1965,334,284,1,2019-10-28
1966,334,284,5,2019-02-04
1967,334,284,2,2019-02-11
1968,334,284,4,2019-02-18
1969,334,284,2,2019-02-25
1970,334,284,4,2019-03-04
1971,17,284,3,2016-01-04
1972,17,284,2,2016-03-07
1973,17,284,3,2016-03-14
1974,17,284,6,2016-03-21
1975,17,284,3,2016-03-28
1976,17,284,1,2016-04-04
1977,17,284,1,2016-04-11
1978,17,284,3,2016-04-18
1979,17,284,3,2016-04-25
1980,17,284,3,2016-05-02
1981,17,284,2,2016-01-11
1982,17,284,1,2016-05-16
1983,17,284,1,2016-05-23
1984,17,284,2,2016-05-30
1985,17,284,1,2016-06-06
1986,17,284,2,2016-06-13
1987,17,284,2,2016-06-20
1988,17,284,1,2016-07-11
1989,17,284,2,2016-01-18
1990,17,284,1,2016-08-01
1991,17,284,2,2016-08-08
1992,17,284,2,2016-09-05
1993,17,284,1,2016-09-12
1994,17,284,6,2016-09-19
1995,17,284,1,2016-09-26
1996,17,284,2,2016-01-25
1997,17,284,7,2016-10-03
1998,17,284,5,2016-10-10
1999,17,284,6,2016-10-17
2000,17,284,6,2016-10-24
2001,17,284,3,2016-10-31
2002,17,284,5,2016-11-07
2003,17,284,3,2016-11-14
2004,17,284,1,2016-11-21
2005,17,284,3,2016-11-28
2006,17,284,2,2016-12-05
2007,17,284,1,2016-02-01
2008,17,284,6,2016-12-12
2009,17,284,4,2016-12-19
2010,17,284,5,2016-12-26
2011,17,284,3,2016-02-08
2012,17,284,1,2016-02-15
2013,17,284,4,2016-02-22
2014,17,284,1,2016-02-29
2015,17,284,5,2017-01-02
2016,17,284,1,2017-03-06
2017,17,284,4,2017-03-13
2018,17,284,5,2017-03-27
2019,17,284,1,2017-04-10
2020,17,284,2,2017-04-17
2021,17,284,1,2017-04-24
2022,17,284,3,2017-05-08
2023,17,284,3,2017-01-09
2024,17,284,5,2017-05-15
2025,17,284,3,2017-05-22
